Location,Property subtype,Price,Number of bedrooms,Living area,Open fireplace,Terrace,Garden,Surface area land,Number of facades,Pool,Condition
SOY,HOUSE,259000.0,3.0,65.0,0,1,1,884.0,4,0,0
Edegem,HOUSE,569000.0,4.0,220.0,1,1,1,289.0,3,0,0
Zaventem,HOUSE,315000.0,3.0,192.0,0,1,1,192.0,2,0,1
Deurne,HOUSE,385000.0,4.0,172.0,0,0,0,110.0,2,0,0
Deurne,MANSION,385000.0,4.0,172.0,0,0,0,110.0,2,0,0
Somzee,HOUSE,225000.0,3.0,190.0,0,1,0,419.0,2,0,1
Châtelet,HOUSE,85000.0,2.0,78.0,0,0,0,21.0,2,0,1
Evergem,HOUSE,179000.0,2.0,95.0,0,1,0,150.0,3,0,1
Lessines,HOUSE,300000.0,3.0,185.0,0,1,1,790.0,4,0,0
Tubize,HOUSE,360000.0,3.0,138.0,0,0,0,223.0,3,0,1
Graide,HOUSE,100000.0,4.0,140.0,0,0,1,692.0,3,0,1
Wingene,HOUSE,320000.0,3.0,127.0,0,0,1,340.0,3,0,0
Jette,MANSION,1185000.0,4.0,450.0,1,0,0,320.0,2,0,1
Oostende,HOUSE,287500.0,2.0,151.0,0,0,0,205.0,2,0,0
Roeselare,HOUSE,212000.0,3.0,155.0,0,1,0,125.0,2,0,1
Gaurain-Ramecroix,HOUSE,360000.0,3.0,190.0,0,0,0,1017.0,4,0,1
Hooglede,HOUSE,395000.0,3.0,145.0,0,1,1,1213.0,4,0,0
Lincent,HOUSE,300000.0,2.0,130.0,0,1,1,716.0,4,0,1
Lincent,VILLA,300000.0,6.0,240.0,0,1,1,716.0,4,0,1
Antwerpen Merksem,HOUSE,399000.0,4.0,218.0,0,1,0,180.0,2,0,1
Estinnes-au-Val,VILLA,230000.0,3.0,171.0,0,1,0,1010.0,4,0,1
Liège Angleur,HOUSE,539000.0,4.0,480.0,0,0,0,1661.0,4,0,1
Dour Wihéries,HOUSE,135000.0,3.0,160.0,0,1,0,150.0,2,0,1
Herentals,HOUSE,324890.0,3.0,222.0,0,1,0,572.0,3,0,0
Fosses-la-Ville,HOUSE,170000.0,5.0,250.0,0,0,0,518.0,3,0,1
Hannut Merdorp,HOUSE,190000.0,3.0,162.0,0,1,1,1192.0,4,0,1
Kampenhout,HOUSE,550000.0,3.0,232.0,0,1,1,379.0,4,0,0
Stabroek,HOUSE,449000.0,4.0,174.0,0,1,1,215.0,3,0,0
Veldegem,HOUSE,285000.0,3.0,197.0,1,1,1,630.0,3,0,0
Meulebeke,HOUSE,325000.0,3.0,161.0,0,0,0,281.0,3,0,0
Alveringem,HOUSE,365000.0,3.0,207.0,0,1,0,222.0,2,0,0
Mons,HOUSE,215000.0,6.0,150.0,0,0,1,232.0,2,0,1
Mons,HOUSE,200000.0,6.0,180.0,0,0,1,69.0,2,0,1
Izegem,HOUSE,345000.0,3.0,174.0,0,1,1,207.0,3,0,0
Aalst - Baardegem,HOUSE,400000.0,3.0,203.0,0,1,1,171.0,2,0,1
Gosselies,HOUSE,370000.0,5.0,328.0,0,0,0,2361.0,4,0,0
Turnhout,HOUSE,299000.0,4.0,178.0,0,0,1,233.0,2,0,0
Lier,HOUSE,269000.0,2.0,141.0,0,0,1,110.0,2,0,0
Lier,HOUSE,177000.0,2.0,92.0,0,0,1,141.0,2,0,1
Maffle,VILLA,650000.0,1.0,350.0,0,1,0,2560.0,4,0,0
Ranst,HOUSE,259000.0,2.0,130.0,0,1,0,98.0,2,0,0
Bissegem,HOUSE,269000.0,3.0,126.0,0,0,0,465.0,3,0,0
Oudenburg,HOUSE,388000.0,3.0,159.0,0,0,0,406.0,3,0,0
Oudenburg,HOUSE,392000.0,3.0,166.0,0,0,0,369.0,3,0,0
Colfontaine,HOUSE,285000.0,8.0,485.0,0,0,0,2110.0,2,0,0
Nivelles,HOUSE,320000.0,3.0,110.0,0,0,1,80.0,3,0,1
Nivelles,HOUSE,220000.0,3.0,110.0,0,0,0,80.0,3,0,1
Baulers,HOUSE,220000.0,3.0,110.0,0,0,0,80.0,3,0,1
Baulers,HOUSE,320000.0,3.0,110.0,0,0,1,80.0,3,0,1
Antwerpen,HOUSE,239000.0,0.0,137.0,0,0,0,185.0,2,0,1
Kortenberg,HOUSE,369000.0,3.0,165.0,0,1,1,205.0,2,0,0
Assenede,HOUSE,435000.0,3.0,173.0,0,1,1,689.0,3,0,0
Zwevezele,HOUSE,270000.0,4.0,200.0,0,0,0,464.0,3,0,0
Liege,HOUSE,220000.0,4.0,150.0,0,1,0,79.0,2,0,0
Denderbelle,VILLA,569000.0,3.0,255.0,1,0,1,1300.0,4,0,0
Heure (Nam.),HOUSE,175000.0,3.0,104.0,0,1,0,1137.0,4,0,1
Tourinnes-Saint-Lambert,HOUSE,395000.0,4.0,138.0,0,1,1,716.0,4,0,1
Lives-sur-Meuse,HOUSE,495000.0,4.0,192.0,0,1,1,2136.0,4,1,1
Faulx-les-Tombes,HOUSE,365000.0,3.0,181.0,0,0,0,658.0,4,0,1
Wépion,HOUSE,730000.0,7.0,505.0,0,0,0,950.0,2,0,1
Furfooz,HOUSE,180000.0,4.0,166.0,0,1,1,370.0,4,0,1
Wépion,HOUSE,535000.0,2.0,370.0,0,0,0,850.0,2,0,1
Wépion,HOUSE,195000.0,4.0,135.0,0,0,0,100.0,2,0,1
Hastière,HOUSE,135000.0,2.0,160.0,0,1,0,300.0,3,0,1
Philippeville,HOUSE,135000.0,3.0,160.0,0,1,1,300.0,3,0,1
Doische,HOUSE,145000.0,2.0,160.0,0,1,1,512.0,3,0,1
Doische,HOUSE,135000.0,2.0,160.0,0,1,1,300.0,2,0,1
Doische,HOUSE,145000.0,2.0,160.0,0,1,1,529.0,3,0,1
Fosses-la-Ville,HOUSE,250000.0,3.0,120.0,0,0,0,500.0,2,0,1
Bouffioulx,HOUSE,79000.0,5.0,200.0,0,0,1,100.0,2,0,1
Oostduinkerke,HOUSE,165000.0,2.0,40.0,0,0,0,115.0,4,0,1
Malines,HOUSE,512000.0,3.0,205.0,0,1,1,251.0,3,0,0
Beersel,HOUSE,260000.0,2.0,95.0,0,1,1,175.0,2,0,0
Putte,HOUSE,398000.0,4.0,191.0,1,1,1,679.0,4,0,0
Hotton,HOUSE,345000.0,4.0,170.0,0,0,1,1100.0,4,0,1
Sint-Niklaas,HOUSE,339000.0,3.0,155.0,0,1,0,235.0,2,0,0
Antwerpen 1,HOUSE,450000.0,4.0,160.0,0,0,1,113.0,2,0,1
Ottignies,HOUSE,275000.0,4.0,90.0,0,1,1,200.0,3,0,1
Ottignies,HOUSE,350000.0,3.0,200.0,1,1,1,1300.0,2,0,1
Veurne,HOUSE,172500.0,2.0,150.0,0,0,0,82.0,2,0,1
Ronse,HOUSE,249500.0,3.0,120.0,0,0,0,559.0,3,0,0
Ixelles,HOUSE,570000.0,5.0,185.0,0,1,0,60.0,2,0,1
Kortrijk,HOUSE,353000.0,3.0,165.0,0,1,1,200.0,2,0,0
Diest,HOUSE,395000.0,2.0,170.0,0,1,1,270.0,3,0,0
Leuven,HOUSE,545000.0,5.0,232.0,0,1,1,269.0,2,0,0
Deerlijk,VILLA,995000.0,4.0,600.0,1,1,0,1488.0,4,1,0
Deerlijk,VILLA,995000.0,4.0,600.0,1,1,0,1488.0,4,1,0
BRAY,HOUSE,140000.0,3.0,227.0,0,1,0,270.0,2,0,1
Deerlijk,MIXED_USE_BUILDING,995000.0,4.0,600.0,1,1,0,1488.0,4,1,0
Deerlijk,MIXED_USE_BUILDING,995000.0,4.0,600.0,1,1,0,1488.0,4,1,0
Carnières,HOUSE,295000.0,5.0,382.0,0,1,0,1550.0,4,0,0
Mechelen,HOUSE,1300000.0,5.0,500.0,1,1,1,764.0,2,0,1
Kaprijke,HOUSE,361718.0,3.0,202.0,0,0,0,421.0,3,0,0
Kruibeke,HOUSE,295000.0,3.0,160.0,0,1,1,184.0,3,0,0
Warchin,HOUSE,225000.0,4.0,160.0,0,1,0,350.0,2,0,1
VARSENARE,HOUSE,425000.0,3.0,158.0,1,1,1,705.0,4,0,0
Zwevezele,HOUSE,339000.0,4.0,200.0,0,1,0,601.0,2,0,1
Tellin,HOUSE,335000.0,6.0,360.0,0,1,1,318.0,3,0,1
Balen,HOUSE,349000.0,3.0,235.0,0,0,0,1050.0,4,0,1
Schilde,VILLA,2350000.0,5.0,600.0,0,0,1,4217.0,4,0,0
Bellefontaine,HOUSE,175000.0,3.0,135.0,0,0,0,444.0,2,0,1
Tienen,HOUSE,206000.0,4.0,121.0,0,0,1,400.0,2,0,0
Charleroi,HOUSE,475000.0,4.0,463.0,0,0,0,200.0,3,0,0
Charleroi,HOUSE,475000.0,4.0,463.0,0,0,0,200.0,3,0,0
POTTES,HOUSE,235000.0,4.0,89.0,0,0,0,2971.0,4,0,1
Namur,VILLA,395000.0,4.0,162.0,1,1,1,456.0,4,0,0
Boussu,HOUSE,165000.0,4.0,159.0,0,1,0,370.0,3,0,0
Ronse,HOUSE,285000.0,4.0,254.0,0,0,0,367.0,4,0,1
Dendermonde,HOUSE,289000.0,2.0,175.0,1,1,1,321.0,3,0,0
Waregem,HOUSE,325000.0,2.0,120.0,0,0,0,326.0,2,0,0
St-Léger,HOUSE,215000.0,3.0,140.0,0,1,0,112.0,2,0,0
Kortenaken Kersbeek-Miskom,HOUSE,429000.0,3.0,190.0,0,1,1,1520.0,4,0,0
Olen,HOUSE,255000.0,3.0,145.0,0,0,0,1281.0,4,0,1
Estaimpuis,HOUSE,95000.0,3.0,110.0,0,0,1,250.0,2,0,1
Stekene,HOUSE,255000.0,3.0,189.0,0,1,1,315.0,2,0,0
Overijse,HOUSE,475000.0,4.0,203.0,0,1,0,342.0,3,0,0
Maldegem,HOUSE,279000.0,3.0,117.0,0,1,0,435.0,3,0,1
Dilbeek,HOUSE,356000.0,3.0,144.0,0,0,0,302.0,3,0,0
Woluwe-St-Pierre,MANSION,1650000.0,7.0,550.0,1,1,1,440.0,2,0,0
Virton,MANSION,459000.0,7.0,450.0,0,0,0,400.0,3,0,0
Heist-op-den-Berg,HOUSE,385000.0,3.0,133.0,0,1,1,2996.0,4,0,1
Herstal,HOUSE,367000.0,6.0,260.0,0,1,1,280.0,2,0,0
Oupeye,HOUSE,279000.0,4.0,163.0,0,1,1,2335.0,4,0,1
Saint-Gilles,MIXED_USE_BUILDING,849000.0,7.0,250.0,0,1,0,80.0,2,0,0
Zele,VILLA,895000.0,3.0,432.0,0,1,0,1494.0,4,1,0
Rebecq,HOUSE,195000.0,3.0,190.0,0,1,0,235.0,2,0,1
Mons,HOUSE,199000.0,4.0,146.0,0,1,0,134.0,2,0,0
Vitrival,VILLA,359000.0,2.0,138.0,0,1,0,1175.0,4,0,0
Ninove,HOUSE,330000.0,3.0,218.0,0,1,1,561.0,2,0,0
Beerse,HOUSE,465000.0,4.0,269.0,0,1,0,339.0,2,0,0
Geraardsbergen,HOUSE,175000.0,3.0,102.0,0,0,0,440.0,2,0,0
Angleur,HOUSE,179000.0,2.0,111.0,0,0,0,51.0,2,0,0
Dendermonde,HOUSE,268000.0,4.0,185.0,0,1,0,84.0,2,0,0
Boom,HOUSE,355000.0,3.0,181.0,0,1,0,83.0,2,0,0
Mons,HOUSE,190000.0,3.0,140.0,0,1,0,1160.0,3,0,0
Charleroi,HOUSE,80000.0,1.0,80.0,0,1,0,100.0,3,0,1
Kortenaken Hoeleden,HOUSE,399000.0,3.0,170.0,0,1,1,1331.0,4,0,0
Mons,HOUSE,185000.0,4.0,120.0,0,1,0,38.0,3,0,0
Aarschot,HOUSE,380000.0,2.0,194.0,0,1,0,855.0,4,0,0
Holsbeek,VILLA,650000.0,4.0,240.0,0,1,1,941.0,4,0,0
Quaregnon,HOUSE,165000.0,5.0,317.0,0,1,0,160.0,3,0,1
NeufchÃteau,HOUSE,220000.0,3.0,120.0,0,1,1,270.0,3,0,0
Ransart,HOUSE,169900.0,3.0,164.0,0,1,1,263.0,3,0,1
Rekkem,VILLA,175000.0,3.0,155.0,0,1,0,886.0,4,0,1
Herseaux,HOUSE,205000.0,3.0,129.0,0,1,0,350.0,3,0,0
Wavre,VILLA,325000.0,2.0,108.0,0,1,1,698.0,4,0,0
Aalst,HOUSE,249000.0,3.0,135.0,0,1,0,158.0,2,0,0
Nidrum (Butgenbach),HOUSE,245000.0,3.0,140.0,0,1,1,433.0,4,0,0
Battice,HOUSE,530000.0,5.0,167.0,0,1,1,2055.0,4,0,1
Beernem,HOUSE,239000.0,3.0,140.0,0,0,0,464.0,3,0,1
Lochristi,HOUSE,620449.0,4.0,192.0,0,0,0,788.0,4,0,0
Geraardsbergen Viane,HOUSE,330000.0,4.0,224.0,0,0,1,1593.0,3,0,1
Zonhoven,HOUSE,378892.0,3.0,148.0,0,0,1,589.0,4,0,1
Zonhoven,HOUSE,368242.0,3.0,148.0,0,0,1,449.0,4,0,1
Zonhoven,HOUSE,358242.0,3.0,148.0,0,0,1,418.0,4,0,1
Zonhoven,HOUSE,359733.0,3.0,148.0,0,0,1,539.0,3,0,1
Seneffe,HOUSE,363695.0,3.0,127.0,0,0,0,775.0,3,0,0
Seneffe,HOUSE,329511.0,3.0,117.0,0,0,0,496.0,3,0,0
Jehay,HOUSE,229000.0,2.0,100.0,0,1,1,930.0,4,0,0
Wanze,HOUSE,330000.0,4.0,120.0,0,1,1,526.0,4,0,0
Montignies-sur-Sambre,HOUSE,199000.0,3.0,140.0,0,1,0,121.0,2,0,0
Wavre,VILLA,682000.0,4.0,212.0,0,1,1,618.0,2,0,1
Wavre,VILLA,673000.0,3.0,190.0,0,1,1,610.0,2,0,1
Wavre,VILLA,697000.0,4.0,214.0,0,1,1,525.0,2,0,1
Rumst,HOUSE,249000.0,2.0,105.0,0,0,1,395.0,3,0,1
Wavre,MIXED_USE_BUILDING,1175000.0,4.0,519.0,0,1,0,842.0,2,0,0
Liège Jupillesur-Meuse,HOUSE,132000.0,3.0,105.0,0,0,0,65.0,2,0,0
Melle,HOUSE,498000.0,6.0,196.0,0,1,0,420.0,3,0,0
Lennik,HOUSE,389000.0,3.0,170.0,0,1,0,1917.0,4,0,1
Schilde,VILLA,875000.0,5.0,350.0,0,1,0,3000.0,4,0,1
Tienen,HOUSE,278000.0,4.0,139.0,0,1,0,90.0,2,0,0
MELSELE,HOUSE,420000.0,3.0,192.0,0,1,1,223.0,2,0,0
SINT-PAUWELS,HOUSE,325000.0,3.0,135.0,0,1,1,237.0,2,0,0
Lier,HOUSE,385000.0,3.0,165.0,0,1,0,1288.0,4,0,1
Wichelen Schellebelle,HOUSE,229500.0,2.0,110.0,0,1,1,84.0,3,0,0
Aalst,HOUSE,385000.0,4.0,210.0,0,1,0,75.0,2,0,0
Zoersel,HOUSE,549000.0,3.0,206.0,0,1,1,532.0,3,1,0
Knokke-Heist,HOUSE,1645000.0,6.0,310.0,0,1,1,410.0,4,0,0
Laeken,HOUSE,315000.0,2.0,120.0,0,1,0,115.0,2,0,0
Sambreville,MIXED_USE_BUILDING,140000.0,2.0,200.0,0,0,0,106.0,3,0,1
Heverlee,MANSION,595000.0,6.0,234.0,0,1,1,210.0,2,0,0
Schaerbeek,HOUSE,550000.0,6.0,250.0,0,1,1,270.0,2,0,1
Beringen,HOUSE,315000.0,2.0,141.0,0,0,0,962.0,3,0,1
Beringen,HOUSE,315000.0,2.0,141.0,0,0,0,943.0,3,0,1
Chaudfontaine,HOUSE,99000.0,2.0,80.0,0,1,0,135.0,3,0,1
Trooz,HOUSE,109000.0,3.0,110.0,0,0,1,628.0,2,0,1
Bruxelles,HOUSE,375000.0,4.0,150.0,0,0,1,197.0,2,0,1
Kampenhout,VILLA,959000.0,3.0,430.0,0,1,0,2038.0,4,1,0
Dendermonde Baasrode,HOUSE,280000.0,3.0,155.0,0,1,1,700.0,3,0,1
Sambreville Falisolle,HOUSE,215000.0,4.0,115.0,0,0,1,760.0,4,0,1
Turnhout,HOUSE,169000.0,1.0,85.0,1,0,1,133.0,2,0,1
Dworp,HOUSE,325000.0,3.0,213.0,0,1,0,523.0,4,0,1
Hasselt,HOUSE,495000.0,4.0,277.0,0,0,1,544.0,4,0,0
Houthalen-Helchteren,HOUSE,279000.0,4.0,175.0,0,0,0,855.0,3,0,1
Lummen,HOUSE,339000.0,5.0,191.0,0,0,1,1170.0,4,0,1
Knokke-Zoute,HOUSE,695000.0,3.0,150.0,0,1,1,117.0,2,0,0
Paal,HOUSE,300000.0,4.0,230.0,0,0,0,814.0,4,0,1
Harelbeke,HOUSE,165000.0,3.0,145.0,0,1,0,500.0,3,0,1
ChÃtelineau,HOUSE,109000.0,3.0,82.0,0,1,1,121.0,2,0,1
Anderlues,HOUSE,239000.0,2.0,207.0,0,0,1,161.0,2,0,1
Boom,HOUSE,299000.0,4.0,165.0,0,0,0,163.0,2,0,1
Opwijk,VILLA,645000.0,4.0,225.0,1,1,1,1500.0,4,0,0
Edegem,HOUSE,945000.0,5.0,330.0,0,1,1,515.0,2,0,1
Heist-op-den-Berg,HOUSE,349000.0,3.0,139.0,0,1,1,362.0,3,0,0
Namur,MANSION,475000.0,6.0,280.0,1,1,0,508.0,4,0,0
Merksem,HOUSE,359000.0,3.0,130.0,0,0,0,168.0,2,0,0
Asse,HOUSE,299000.0,4.0,327.0,0,0,0,611.0,2,0,1
Geraardsbergen,HOUSE,272000.0,3.0,187.0,1,1,1,432.0,4,0,0
Borsbeek,HOUSE,315000.0,3.0,138.0,1,0,1,195.0,2,0,1
Mortsel,HOUSE,435000.0,3.0,246.0,0,1,1,402.0,3,0,1
Ekeren,HOUSE,395000.0,5.0,242.0,1,0,0,300.0,3,0,1
Herzele,HOUSE,298500.0,3.0,376.0,1,0,1,1900.0,2,0,1
Huy,MIXED_USE_BUILDING,175000.0,0.0,348.0,0,1,1,207.0,2,0,1
Hasselt,HOUSE,349000.0,3.0,200.0,0,0,0,320.0,3,0,0
Gent,MANSION,445445.0,4.0,275.0,0,0,0,146.0,2,0,0
Kruibeke,HOUSE,610000.0,3.0,156.0,0,0,1,1259.0,3,1,0
Saint-Georges-sur-Meuse,HOUSE,289000.0,3.0,211.0,0,1,1,622.0,3,0,0
Borgloon,HOUSE,245000.0,3.0,135.0,0,1,1,306.0,3,0,0
Maasmechelen,HOUSE,239000.0,3.0,157.0,0,1,0,345.0,2,0,0
Harelbeke,HOUSE,129000.0,2.0,87.0,0,0,0,44.0,2,0,1
Zottegem,HOUSE,495000.0,5.0,336.0,0,1,1,702.0,4,0,0
Sint Pieters Leeuw,VILLA,625000.0,3.0,245.0,0,1,0,717.0,4,0,0
Oostrozebeke,HOUSE,175000.0,2.0,123.0,0,0,1,231.0,2,0,1
Tremelo,HOUSE,235000.0,2.0,140.0,0,0,1,782.0,4,0,1
Knokke,HOUSE,695000.0,3.0,150.0,0,1,0,117.0,2,0,0
Beveren,HOUSE,775000.0,5.0,530.0,0,0,1,1537.0,3,0,1
Sleidinge,HOUSE,399000.0,4.0,270.0,0,0,0,659.0,4,0,1
KEMZEKE,HOUSE,298000.0,3.0,148.0,0,1,0,241.0,3,0,0
Schoten,HOUSE,385000.0,4.0,175.0,1,1,1,215.0,2,0,0
Gent,HOUSE,290000.0,3.0,132.0,0,0,0,62.0,2,0,0
Leuze-En-Hainaut,HOUSE,239000.0,2.0,190.0,0,0,0,396.0,4,0,1
Leuze-En-Hainaut,HOUSE,239000.0,2.0,190.0,0,0,0,396.0,4,0,1
Leuze-En-Hainaut,VILLA,239000.0,2.0,190.0,0,0,0,396.0,4,0,1
Leuze-En-Hainaut,VILLA,239000.0,2.0,190.0,0,0,0,396.0,4,0,1
Genappe,HOUSE,675000.0,4.0,286.0,0,1,1,2470.0,4,0,0
Essen,HOUSE,319000.0,2.0,175.0,0,1,1,896.0,4,0,0
Écaussinnes,HOUSE,210000.0,3.0,107.0,1,1,1,125.0,2,0,0
Herstal,HOUSE,190000.0,3.0,117.0,0,1,1,120.0,2,0,0
Wommelgem,VILLA,575000.0,3.0,228.0,0,1,1,820.0,4,0,0
Forest,MANSION,1450000.0,9.0,640.0,0,1,1,1000.0,2,0,1
Roeselare,HOUSE,475000.0,4.0,353.0,0,1,0,1230.0,4,0,0
Gerpinnes,VILLA,615000.0,3.0,204.0,0,1,0,865.0,4,0,0
Willebroek (Willebroek),HOUSE,332410.0,3.0,153.0,0,1,1,218.0,2,0,1
Saint-Georges-sur-Meuse,HOUSE,200000.0,4.0,180.0,0,1,0,742.0,4,0,1
Pont-à-Celles,HOUSE,295000.0,4.0,180.0,0,1,1,310.0,3,0,0
Liege,HOUSE,205000.0,3.0,140.0,0,0,0,95.0,2,0,0
Charleroi Mont-sur-Marchienne,HOUSE,369000.0,3.0,247.0,0,1,0,1575.0,3,0,0
Watermael-Boitsfort,HOUSE,735000.0,3.0,185.0,1,1,1,127.0,2,0,0
Binche,HOUSE,165000.0,3.0,182.0,0,0,0,240.0,2,0,0
Flemalle,HOUSE,159000.0,2.0,85.0,0,0,1,299.0,3,0,1
Izegem,MIXED_USE_BUILDING,399750.0,7.0,260.0,0,1,0,604.0,2,0,0
Izegem,HOUSE,399750.0,7.0,260.0,0,1,0,604.0,2,0,0
Comblain-au-Pont,HOUSE,145000.0,5.0,277.0,0,0,0,541.0,2,0,1
Zele,HOUSE,359000.0,7.0,298.0,0,1,0,337.0,3,0,1
Libramont-Chevigny,HOUSE,369000.0,4.0,184.0,0,1,0,1000.0,4,0,0
Grimbergen,VILLA,950000.0,3.0,340.0,1,1,1,1460.0,3,0,0
Lede,HOUSE,525000.0,3.0,228.0,0,0,1,1410.0,4,0,0
Villers-la-Ville,HOUSE,120000.0,2.0,1189.0,0,0,1,1189.0,3,0,1
Ronquieres,HOUSE,250000.0,2.0,166.0,0,0,1,380.0,3,0,1
Haneffe,HOUSE,235000.0,3.0,160.0,0,1,0,432.0,3,0,0
Charleroi,HOUSE,235000.0,3.0,173.0,0,1,1,347.0,3,0,0
Oud-Turnhout,HOUSE,299000.0,4.0,186.0,0,0,1,750.0,4,0,0
Turnhout,HOUSE,275000.0,3.0,152.0,0,0,1,300.0,2,0,1
SINT-AMANDSBERG,HOUSE,219000.0,2.0,87.0,0,0,0,48.0,2,0,1
Sint-Niklaas,HOUSE,295000.0,6.0,214.0,0,0,1,167.0,2,0,0
Hornu,HOUSE,79000.0,4.0,144.0,0,0,0,170.0,2,0,1
Stekene,HOUSE,325000.0,3.0,197.0,0,0,0,471.0,4,0,0
Limbourg,VILLA,495000.0,4.0,183.0,0,1,0,1209.0,4,0,1
Hombourg,VILLA,355000.0,3.0,150.0,0,0,0,1027.0,4,0,0
Nieuwpoort,HOUSE,295000.0,4.0,210.0,0,1,1,235.0,2,0,1
Zoersel,HOUSE,450000.0,4.0,178.0,0,0,0,1034.0,4,0,0
Temse,HOUSE,319000.0,4.0,202.0,0,0,1,595.0,2,0,0
Hannut,VILLA,448000.0,3.0,193.0,0,1,1,1616.0,4,0,0
Sint-Pieters-Leeuw,HOUSE,320000.0,3.0,127.0,0,0,0,468.0,3,0,1
NIJLEN,HOUSE,249000.0,1.0,120.0,0,0,0,250.0,3,0,1
Antwerp,HOUSE,209000.0,3.0,160.0,0,0,0,58.0,2,0,1
Antwerp,HOUSE,289000.0,3.0,80.0,0,0,0,31.0,2,0,0
Evergem,HOUSE,350000.0,3.0,140.0,0,0,1,150.0,2,0,0
MELSELE,HOUSE,210000.0,2.0,105.0,0,1,0,211.0,3,0,1
BAASRODE,HOUSE,249900.0,3.0,170.0,1,1,1,479.0,3,0,1
SCHIPLAKEN,HOUSE,499000.0,4.0,205.0,1,1,0,930.0,4,0,0
WOLKRANGE,HOUSE,659000.0,5.0,310.0,0,0,1,700.0,4,0,0
Bouillon,HOUSE,270500.0,3.0,130.0,0,0,0,1160.0,4,0,1
SCHAFFEN,HOUSE,350000.0,4.0,168.0,0,1,1,1484.0,4,0,0
Ekeren,HOUSE,249000.0,3.0,129.0,0,1,0,148.0,2,0,1
FLAWINNE,HOUSE,275000.0,3.0,180.0,0,1,0,1000.0,3,0,1
Boom,HOUSE,245000.0,2.0,146.0,0,1,1,72.0,2,0,0
Haillot,HOUSE,275000.0,4.0,271.0,0,1,0,972.0,4,0,0
Waterloo,VILLA,725000.0,4.0,193.0,0,1,0,600.0,4,0,1
Genappe,HOUSE,290000.0,5.0,190.0,0,1,1,240.0,2,0,1
SINT-JAN,VILLA,685000.0,5.0,310.0,1,1,0,5105.0,4,0,1
Cuesmes,HOUSE,175000.0,3.0,112.0,0,0,0,130.0,3,0,0
FONTAINE-L'ÉVÊQUE,HOUSE,306350.0,5.0,311.0,0,0,0,4238.0,4,0,0
Waterloo,HOUSE,645000.0,6.0,350.0,0,0,1,600.0,3,0,0
FONTAINE-L'ÉVÊQUE,HOUSE,410000.0,5.0,311.0,0,0,0,4238.0,4,0,0
Lessines,HOUSE,195000.0,3.0,130.0,0,1,0,95.0,2,0,0
Steenokkerzeel,HOUSE,349000.0,3.0,165.0,0,0,0,380.0,4,0,1
AUVELAIS,VILLA,195000.0,3.0,120.0,0,0,0,1000.0,4,0,1
Nivelles,HOUSE,250000.0,2.0,112.0,0,1,1,986.0,4,0,1
FALISOLLE,HOUSE,299000.0,4.0,180.0,0,1,0,250.0,2,0,1
BUZET,HOUSE,250000.0,2.0,112.0,0,1,1,986.0,4,0,1
Oudenaarde,HOUSE,425000.0,4.0,192.0,0,0,1,1189.0,4,0,0
Gits,HOUSE,725000.0,3.0,309.0,0,1,1,3866.0,4,0,0
SOLRE-SUR-SAMBRE,HOUSE,135000.0,4.0,146.0,0,0,0,410.0,4,0,1
Mettet,VILLA,315000.0,3.0,147.0,0,1,1,1900.0,4,0,1
Grez-Doiceau,HOUSE,450000.0,5.0,260.0,1,1,1,3000.0,4,0,1
Geel,HOUSE,349000.0,8.0,477.0,0,0,0,3629.0,4,0,1
Woluwe-Saint-Pierre,VILLA,1150000.0,6.0,232.0,0,1,1,688.0,4,0,0
Oosterzele,HOUSE,400565.0,3.0,186.0,0,1,1,282.0,3,0,0
Gent,HOUSE,425000.0,3.0,135.0,0,1,1,75.0,2,0,1
Heusden-Zolder,HOUSE,225000.0,3.0,150.0,0,0,1,1384.0,4,0,1
Balen,HOUSE,249000.0,3.0,189.0,0,0,1,700.0,3,0,1
Zwevezele,HOUSE,195000.0,3.0,155.0,0,1,0,717.0,3,0,1
Hoegaarden,HOUSE,215000.0,3.0,173.0,0,1,1,158.0,2,0,1
Dadizele,HOUSE,245000.0,3.0,177.0,0,1,1,427.0,2,0,0
Vosselaar,VILLA,825000.0,4.0,316.0,0,0,1,1351.0,4,1,0
Bavikhove,HOUSE,210000.0,3.0,100.0,0,1,1,360.0,3,0,0
Lier,HOUSE,299000.0,3.0,114.0,0,1,0,81.0,2,0,0
Aalst,HOUSE,323000.0,2.0,127.0,0,1,0,232.0,2,0,0
Olen,HOUSE,249500.0,4.0,166.0,0,0,0,929.0,4,0,1
Willebroek,HOUSE,290000.0,3.0,160.0,0,1,0,100.0,2,0,0
Les-Bons-Villers,HOUSE,421500.0,4.0,190.0,0,0,0,1136.0,4,0,1
Charleroi Jumet,MIXED_USE_BUILDING,425000.0,7.0,290.0,0,1,0,1203.0,2,0,0
Kaster,VILLA,435000.0,2.0,220.0,0,1,0,616.0,4,0,0
Olen,HOUSE,310000.0,3.0,126.0,0,1,0,126.0,2,0,0
Bievre,HOUSE,230500.0,3.0,145.0,0,0,1,799.0,4,0,1
Hoogstraten,HOUSE,329000.0,3.0,170.0,0,1,0,137.0,3,0,0
Stabroek,HOUSE,499000.0,4.0,190.0,0,1,1,330.0,3,0,0
Hélècine,HOUSE,319000.0,3.0,160.0,0,0,1,1260.0,4,0,1
Soignies,HOUSE,259000.0,5.0,258.0,0,0,0,250.0,2,0,0
