Location,Property subtype,Price,Number of bedrooms,Living area,Open fireplace,Terrace,Garden,Surface area land,Number of facades,Pool,Condition
Bornem,VILLA,599000.0,3.0,189.0,0,1,1,437.0,4,0,0
Deftinge,HOUSE,279000.0,4.0,165.0,0,1,1,1475.0,3,0,1
Varsenare,HOUSE,349000.0,2.0,246.0,0,1,1,1110.0,3,0,1
Marchin,HOUSE,295000.0,6.0,368.0,0,1,1,1655.0,3,0,0
Tielt,VILLA,530000.0,4.0,258.0,1,1,0,705.0,4,0,0
WIDEUMONT VILLAGE,HOUSE,370000.0,7.0,175.0,0,0,1,800.0,4,0,1
Wavre,HOUSE,230000.0,4.0,244.0,0,1,1,300.0,2,0,1
FONTAINE-L'EVÊQUE,HOUSE,120000.0,5.0,210.0,0,0,0,160.0,2,0,1
LISOGNE (DINANT),HOUSE,349000.0,4.0,170.0,1,1,0,1120.0,4,0,0
Meix-devant-Virton,HOUSE,215000.0,3.0,120.0,0,0,0,850.0,4,0,0
Bergilers,HOUSE,420000.0,3.0,227.0,1,1,1,509.0,4,0,0
Zwalm,HOUSE,595000.0,5.0,234.0,0,1,1,1662.0,3,0,0
Hasselt,HOUSE,490000.0,9.0,433.0,0,1,0,6104.0,4,0,0
Colfontaine,VILLA,299000.0,3.0,140.0,0,1,1,2000.0,4,0,0
Frameries,HOUSE,120000.0,2.0,78.0,0,1,0,180.0,2,0,0
WASMUEL,HOUSE,126000.0,2.0,83.0,0,0,1,122.0,2,0,0
Ixelles,HOUSE,1550000.0,5.0,323.0,0,1,1,253.0,2,0,1
Waregem,VILLA,390000.0,3.0,245.0,0,1,0,548.0,4,0,0
Ixelles,HOUSE,1550000.0,5.0,323.0,0,1,1,253.0,2,0,1
Waregem,VILLA,390000.0,3.0,245.0,0,1,0,548.0,4,0,0
Leuven,HOUSE,295000.0,4.0,154.0,0,0,0,378.0,3,0,1
Izegem,HOUSE,219000.0,4.0,160.0,0,0,0,251.0,2,0,0
Nazareth,HOUSE,250000.0,2.0,159.0,0,1,0,47.0,2,0,1
Flemalle,HOUSE,199001.0,2.0,100.0,0,1,1,150.0,3,0,0
Bruxelles,HOUSE,385000.0,3.0,140.0,0,0,0,130.0,2,0,0
Hainaut,MANSION,210000.0,3.0,170.0,0,1,0,341.0,3,0,0
Boortmeerbeek,VILLA,442000.0,2.0,173.0,0,1,0,1561.0,4,0,1
Halle,HOUSE,435000.0,4.0,258.0,0,1,1,286.0,2,0,1
Maasmechelen,HOUSE,289000.0,3.0,170.0,0,0,0,942.0,4,0,1
Lodelinsart,HOUSE,144900.0,4.0,160.0,0,1,0,300.0,4,0,0
Fosses-la-Ville,MANSION,168000.0,3.0,140.0,0,1,0,280.0,2,0,0
Ans Alleur,HOUSE,280000.0,3.0,160.0,0,1,0,595.0,3,0,0
Molenbeek-Saint-Jean,HOUSE,275000.0,3.0,105.0,0,1,1,107.0,3,0,1
Braffe,VILLA,259000.0,5.0,170.0,0,1,1,1087.0,4,0,0
Merksplas,HOUSE,285000.0,3.0,136.0,0,0,0,117.0,2,0,0
Lasne,HOUSE,895000.0,6.0,324.0,0,1,0,3242.0,4,0,0
Merelbeke,HOUSE,289000.0,3.0,160.0,0,1,0,110.0,2,0,0
Seraing,HOUSE,176000.0,2.0,80.0,0,1,1,105.0,2,0,0
Waremme,HOUSE,225000.0,3.0,141.0,0,1,1,510.0,3,0,0
Remicourt,HOUSE,189000.0,3.0,130.0,0,1,1,545.0,2,0,0
Grez-Doiceau,HOUSE,325000.0,2.0,79.0,0,1,0,770.0,4,0,0
Marchienne-au-Pont,MIXED_USE_BUILDING,495000.0,8.0,414.0,0,0,0,240.0,2,0,0
Aartselaar,HOUSE,469000.0,4.0,206.0,0,1,0,558.0,3,0,1
Antwerp,HOUSE,369000.0,3.0,160.0,0,1,0,237.0,3,0,1
Chaudfontaine Vaux-sous-Chèvremont,HOUSE,295000.0,3.0,270.0,0,0,1,1161.0,3,0,1
Chênée,HOUSE,295000.0,3.0,270.0,0,0,1,1161.0,3,0,1
Oupeye,HOUSE,699000.0,6.0,377.0,0,1,1,4200.0,4,0,0
Asse,VILLA,569000.0,3.0,382.0,0,1,1,605.0,4,0,0
Denderwindeke,HOUSE,299000.0,3.0,135.0,0,1,1,750.0,4,0,0
Thuin,MANSION,475000.0,7.0,500.0,0,1,1,1730.0,4,1,0
Tournai Templeuve,HOUSE,1250000.0,8.0,520.0,0,1,1,1100.0,2,1,0
Courcelles,HOUSE,189900.0,2.0,117.0,0,1,0,810.0,3,0,0
Courcelles,HOUSE,89900.0,3.0,109.0,0,1,1,850.0,3,0,1
Erquelinnes Bersilliesl'Abbaye,HOUSE,14900.0,2.0,32.0,0,1,1,200.0,4,0,0
Sint-Martens-Latem,VILLA,1150000.0,3.0,370.0,0,1,1,910.0,4,0,0
Wépion,HOUSE,485000.0,5.0,280.0,0,1,0,1663.0,3,0,0
Ohain,HOUSE,1125000.0,4.0,412.0,0,1,0,4056.0,4,0,1
Beringen,HOUSE,279000.0,3.0,185.0,0,1,0,165.0,2,0,1
Ittre Haut-Ittre,HOUSE,295000.0,4.0,180.0,0,1,0,1432.0,3,0,1
Willebroek,MANSION,389000.0,3.0,170.0,0,1,1,184.0,2,0,0
Meise,VILLA,745000.0,5.0,300.0,1,1,0,582.0,4,0,0
Oostende,HOUSE,240000.0,3.0,133.0,0,1,1,141.0,2,0,0
Mont-sur-Marchienne,HOUSE,220000.0,2.0,136.0,0,1,1,244.0,3,0,0
Lummen,HOUSE,205000.0,3.0,151.0,0,0,0,545.0,3,0,1
Courcelles,HOUSE,195000.0,3.0,125.0,0,0,1,424.0,3,0,1
Courcelles,HOUSE,65000.0,2.0,93.0,0,0,1,332.0,2,0,1
Beerzel,HOUSE,369000.0,3.0,204.0,0,1,1,617.0,3,0,0
Chaudfontaine Embourg,HOUSE,250000.0,3.0,154.0,0,1,0,200.0,4,0,1
Braine-le-Comte Hennuyères,VILLA,365000.0,3.0,149.0,0,1,1,1650.0,4,0,1
Enghien,HOUSE,310000.0,5.0,200.0,0,0,1,327.0,3,0,0
Tubize,HOUSE,190000.0,3.0,201.0,0,1,0,135.0,2,0,1
Dinant,MIXED_USE_BUILDING,398000.0,4.0,254.0,0,1,0,920.0,4,0,1
Flemalle,HOUSE,95000.0,2.0,85.0,0,1,1,120.0,2,0,1
Hove,HOUSE,435000.0,2.0,130.0,0,1,1,685.0,4,0,1
Herzele,HOUSE,329000.0,3.0,190.0,0,1,0,327.0,3,0,0
Woluwe-Saint-Lambert,HOUSE,790000.0,4.0,278.0,0,1,1,132.0,2,0,0
Auderghem,HOUSE,625000.0,4.0,208.0,0,1,1,165.0,2,0,1
Lodelinsart,HOUSE,100000.0,2.0,101.0,0,0,0,51.0,3,0,1
Liège Bressoux,HOUSE,125000.0,4.0,127.0,0,0,0,84.0,2,0,1
Grez-Doiceau,VILLA,1150000.0,5.0,322.0,0,1,0,2400.0,4,0,0
Zaventem,HOUSE,529000.0,4.0,165.0,0,1,0,156.0,2,0,1
Uccle,HOUSE,599000.0,3.0,220.0,0,1,1,141.0,2,0,1
Hoboken,HOUSE,369000.0,3.0,181.0,0,1,1,229.0,3,0,1
Turnhout,HOUSE,239000.0,4.0,130.0,0,0,0,265.0,2,0,1
Turnhout,HOUSE,219000.0,3.0,118.0,0,0,0,180.0,2,0,1
Turnhout,HOUSE,328000.0,4.0,129.0,0,1,0,507.0,2,0,1
Rumst Terhagen,HOUSE,248500.0,2.0,90.0,0,1,1,162.0,2,0,0
Sint-Agatha-Berchem,HOUSE,419000.0,3.0,164.0,0,1,0,180.0,2,0,1
Dilbeek,HOUSE,339500.0,4.0,225.0,0,1,0,221.0,3,0,1
Colfontaine Wasmes,HOUSE,149000.0,2.0,110.0,0,1,1,354.0,2,0,0
Rixensart,VILLA,1060000.0,7.0,430.0,0,1,0,2000.0,4,0,0
Meerhout,MIXED_USE_BUILDING,275000.0,3.0,280.0,0,0,1,275.0,3,0,1
Nijlen,HOUSE,335000.0,3.0,167.0,0,0,0,267.0,3,0,0
Hasselt,HOUSE,424000.0,3.0,266.0,1,0,1,516.0,3,0,0
De Haan,VILLA,1650000.0,4.0,499.0,1,0,1,760.0,4,0,0
Kessel-Lo,MIXED_USE_BUILDING,960000.0,4.0,260.0,0,0,0,235.0,3,0,0
Gentbrugge,HOUSE,285000.0,3.0,160.0,0,0,0,232.0,2,0,1
Wondelgem,HOUSE,395000.0,3.0,163.0,0,0,0,623.0,4,0,1
Mons,MANSION,299000.0,3.0,205.0,0,1,0,130.0,2,0,0
Lo-Reninge,HOUSE,150000.0,3.0,136.0,0,0,0,224.0,3,0,1
Lokeren,HOUSE,225000.0,2.0,146.0,0,0,0,144.0,2,0,1
Merelbeke,HOUSE,498000.0,4.0,140.0,0,1,1,449.0,3,0,1
Merelbeke,HOUSE,498000.0,4.0,140.0,0,1,1,449.0,3,0,1
Rixensart,HOUSE,425000.0,5.0,150.0,0,0,1,775.0,4,0,1
Ciney,HOUSE,295000.0,3.0,170.0,1,0,0,812.0,4,0,1
Assenede,HOUSE,189000.0,2.0,136.0,0,0,1,300.0,4,0,1
Keerbergen,VILLA,549000.0,5.0,275.0,0,1,1,2000.0,4,0,1
BOIGNÉE,HOUSE,245000.0,3.0,110.0,0,1,1,627.0,2,0,0
Malle,HOUSE,479000.0,4.0,275.0,0,1,1,475.0,3,0,0
AMPSIN,HOUSE,249000.0,2.0,117.0,0,1,1,843.0,4,0,0
SINT-GILLIS-BIJ-DENDERMONDE,HOUSE,179000.0,2.0,87.0,0,0,1,120.0,2,0,1
Wolkrange,HOUSE,389000.0,3.0,329.0,0,1,0,2125.0,2,0,1
Mechelen,HOUSE,337000.0,3.0,144.0,0,0,1,117.0,2,0,0
Kapellen,VILLA,499000.0,4.0,319.0,0,0,1,2066.0,4,0,1
Kapellen,HOUSE,499000.0,4.0,319.0,0,0,1,2066.0,4,0,1
Leuven,MANSION,685000.0,8.0,280.0,0,1,1,220.0,2,0,0
Schoten,HOUSE,349000.0,2.0,227.0,0,0,1,331.0,2,0,1
NEDERBRAKEL,MIXED_USE_BUILDING,319000.0,5.0,210.0,0,0,0,101.0,2,0,1
NEDERBRAKEL,HOUSE,319000.0,5.0,210.0,0,0,0,101.0,2,0,1
Ronse,HOUSE,139900.0,2.0,110.0,0,0,0,260.0,2,0,1
Saint-Nicolas,HOUSE,220000.0,2.0,115.0,0,1,1,1320.0,3,0,0
Lissewege,HOUSE,280000.0,3.0,145.0,0,0,0,150.0,2,0,0
Lievegem,HOUSE,449000.0,3.0,150.0,0,0,0,770.0,4,0,0
Temse,HOUSE,375000.0,4.0,170.0,1,1,1,462.0,3,0,0
Eeklo,HOUSE,249000.0,3.0,160.0,0,1,0,107.0,2,0,0
Zele,HOUSE,169000.0,2.0,112.0,0,1,0,293.0,2,0,1
Jette,VILLA,1499000.0,5.0,647.0,1,0,0,951.0,4,0,0
SINT-JANS-MOLENBEEK,MIXED_USE_BUILDING,795000.0,0.0,650.0,0,0,0,650.0,3,0,0
Puurs-Sint-Amands,HOUSE,240000.0,4.0,170.0,0,1,1,310.0,2,0,1
SINT-NIKLAAS,HOUSE,307000.0,3.0,160.0,0,0,1,150.0,2,0,1
Brecht,VILLA,735000.0,5.0,330.0,0,1,0,3600.0,4,0,0
Drogenbos,HOUSE,455000.0,5.0,260.0,1,1,1,177.0,2,0,0
Lier,HOUSE,455000.0,2.0,176.0,0,1,1,346.0,3,0,1
Lier,HOUSE,485000.0,3.0,210.0,0,1,1,468.0,2,0,1
MILMORT,HOUSE,549000.0,3.0,138.0,0,1,1,1100.0,4,1,0
Lokeren,HOUSE,210000.0,2.0,150.0,0,1,0,136.0,3,0,0
Sint-Niklaas,HOUSE,289000.0,3.0,150.0,0,0,0,146.0,2,0,0
Gent,HOUSE,419000.0,3.0,145.0,0,0,1,90.0,2,0,1
Gent,HOUSE,465000.0,3.0,145.0,0,0,1,138.0,2,0,1
Huy,MANSION,379000.0,3.0,155.0,0,1,1,290.0,3,1,0
Huy,HOUSE,379000.0,3.0,155.0,0,1,1,290.0,3,1,0
Bredene,HOUSE,489000.0,4.0,184.0,0,0,1,600.0,4,0,1
Tienen,HOUSE,329000.0,2.0,157.0,0,1,1,586.0,4,0,0
Jabbeke,VILLA,459500.0,3.0,99.0,0,0,1,700.0,4,0,1
De Haan,HOUSE,1650000.0,4.0,499.0,1,1,1,760.0,4,0,0
Harelbeke,HOUSE,320000.0,3.0,206.0,0,0,1,218.0,2,0,0
Wauthier-Braine,VILLA,445000.0,3.0,140.0,0,0,1,608.0,4,0,0
WOLUWÉ-SAINT-LAMBERT,HOUSE,730000.0,3.0,210.0,0,0,0,81.0,2,0,1
Wellin,HOUSE,215000.0,4.0,160.0,0,1,1,195.0,2,0,0
Vedrin,HOUSE,249000.0,3.0,159.0,1,0,0,482.0,3,0,1
Mouscron,HOUSE,135000.0,3.0,120.0,0,1,1,139.0,2,0,0
Herseaux,HOUSE,105000.0,2.0,93.0,1,1,0,95.0,2,0,1
Mouscron,HOUSE,359000.0,4.0,200.0,0,0,0,700.0,2,0,1
WIERDE,VILLA,545000.0,5.0,250.0,1,1,0,1350.0,4,0,0
Halle,HOUSE,499000.0,3.0,184.0,0,1,0,145.0,2,0,0
Waregem,HOUSE,262500.0,3.0,130.0,0,1,0,247.0,3,0,0
Desselgem,HOUSE,335000.0,3.0,180.0,0,1,0,376.0,2,0,0
Evergem,HOUSE,295000.0,4.0,260.0,0,1,1,913.0,2,0,1
Philippeville,HOUSE,490000.0,4.0,316.0,1,1,1,2347.0,4,0,1
ANSEREMME,HOUSE,175000.0,2.0,124.0,0,1,0,445.0,3,0,1
Dinant,HOUSE,399000.0,5.0,437.0,1,1,1,2143.0,4,0,1
Binche,HOUSE,150000.0,3.0,173.0,0,1,0,100.0,3,0,1
Dinant,HOUSE,59000.0,1.0,30.0,0,1,0,148.0,2,0,1
Hastière,HOUSE,265000.0,3.0,95.0,0,1,1,1953.0,4,0,0
Dinant,HOUSE,399000.0,3.0,155.0,0,1,1,667.0,2,0,0
Aubange,HOUSE,469000.0,5.0,220.0,0,1,1,235.0,2,0,0
Geraardsbergen,HOUSE,175000.0,3.0,135.0,0,1,1,266.0,2,0,0
Aalst,HOUSE,349500.0,2.0,177.0,0,1,0,70.0,2,0,0
Walcourt,HOUSE,299000.0,5.0,209.0,0,1,1,953.0,2,0,0
Hastière,HOUSE,180000.0,3.0,115.0,0,1,1,625.0,4,0,0
Auderghem,HOUSE,665000.0,4.0,170.0,0,1,0,90.0,2,0,1
Nazareth,HOUSE,589000.0,4.0,356.0,0,1,1,1100.0,4,0,0
Namur,HOUSE,292600.0,4.0,116.0,1,0,1,1020.0,4,0,0
Gent,HOUSE,225000.0,3.0,110.0,0,0,1,250.0,3,0,1
Gent,HOUSE,225000.0,3.0,110.0,0,0,1,238.0,3,0,1
Laakdal,HOUSE,304900.0,3.0,143.0,0,0,0,219.0,3,0,0
Geel (Geel),HOUSE,349000.0,4.0,186.0,0,0,0,1032.0,4,0,0
Genappe,HOUSE,265000.0,3.0,125.0,0,1,1,361.0,2,0,0
Herseaux,HOUSE,289000.0,5.0,156.0,0,1,1,642.0,3,0,0
Wiers,HOUSE,155000.0,3.0,150.0,0,0,1,1950.0,2,0,1
Enghien,FARMHOUSE,335000.0,3.0,155.0,0,0,0,2034.0,4,0,1
Genval,VILLA,795000.0,8.0,350.0,1,1,1,1500.0,4,0,1
Fontaine-l'Eveque,HOUSE,279000.0,3.0,133.0,0,1,0,2860.0,4,0,1
Olmen,HOUSE,279000.0,4.0,164.0,0,0,0,830.0,4,0,0
Ursel,HOUSE,275000.0,3.0,140.0,0,1,0,1048.0,4,0,1
Beerse,HOUSE,399000.0,3.0,242.0,0,1,1,437.0,4,0,0
Geel (Geel),HOUSE,230000.0,3.0,285.0,0,0,0,1168.0,4,0,1
Hamois,HOUSE,199000.0,3.0,140.0,0,1,1,1263.0,3,0,1
Chevetogne,HOUSE,190000.0,2.0,95.0,0,0,1,900.0,4,0,0
Rotselaar,HOUSE,495000.0,3.0,202.0,0,1,1,701.0,3,0,0
Geel (Geel),HOUSE,285000.0,3.0,160.0,0,0,0,264.0,2,0,0
Mol,MIXED_USE_BUILDING,595000.0,0.0,235.0,0,0,0,500.0,2,0,0
Balen,HOUSE,275000.0,3.0,173.0,0,1,0,853.0,4,0,0
Averbode,HOUSE,320000.0,4.0,240.0,0,0,0,705.0,4,0,0
Marchin,HOUSE,260000.0,3.0,100.0,0,1,1,1340.0,4,0,0
Nieuwenhove,HOUSE,355675.0,3.0,140.0,0,0,1,372.0,3,0,1
Geel (Geel),HOUSE,360210.0,3.0,158.0,0,0,0,371.0,4,0,1
Geel (Geel),HOUSE,381820.0,3.0,180.0,0,0,0,394.0,4,0,0
Harelbeke,HOUSE,285750.0,4.0,161.0,0,1,0,290.0,2,0,1
Laakdal,HOUSE,289900.0,3.0,128.0,0,1,0,213.0,3,0,0
geel,HOUSE,440000.0,4.0,376.0,0,0,0,650.0,3,0,1
Scherpenheuvel-Zichem,HOUSE,249000.0,5.0,334.0,0,0,0,728.0,4,0,1
Geluwe,HOUSE,329000.0,3.0,170.0,0,1,1,372.0,3,0,0
Gent,HOUSE,310000.0,4.0,155.0,0,0,0,72.0,2,0,0
Mouscron,HOUSE,125000.0,3.0,132.0,0,1,0,169.0,2,0,1
Herseaux,HOUSE,309000.0,3.0,146.0,0,1,1,352.0,3,0,0
Londerzeel,HOUSE,395000.0,2.0,120.0,0,1,1,1421.0,4,0,0
Wilrijk (Antwerpen),HOUSE,585000.0,4.0,247.0,0,0,0,374.0,2,0,0
Wiers,VILLA,220000.0,2.0,128.0,1,1,1,1624.0,4,0,0
Forest,HOUSE,369000.0,3.0,231.0,0,0,1,89.0,2,0,1
Ingelmunster,HOUSE,385000.0,5.0,197.0,0,1,1,1495.0,3,0,0
Westende,VILLA,850000.0,3.0,220.0,0,1,1,565.0,4,0,0
Tubize,VILLA,350000.0,3.0,165.0,0,1,1,2270.0,4,0,1
Londerzeel,HOUSE,469000.0,3.0,150.0,0,1,1,205.0,2,0,0
Forest,MIXED_USE_BUILDING,369000.0,3.0,231.0,0,0,1,89.0,2,0,1
Spa,VILLA,549000.0,5.0,267.0,1,1,1,1200.0,4,0,1
Zwevezele,HOUSE,369000.0,6.0,240.0,0,1,0,3108.0,2,0,1
Mouscron,VILLA,279000.0,3.0,120.0,0,1,1,477.0,4,0,0
Waregem,HOUSE,233900.0,3.0,550.0,0,1,1,500.0,2,0,1
Ronse,HOUSE,315000.0,3.0,180.0,0,1,1,133.0,2,0,0
Geel,HOUSE,649000.0,5.0,319.0,1,0,1,1503.0,4,0,0
Turnhout,HOUSE,299000.0,3.0,190.0,0,0,1,247.0,3,0,1
Molenbeek-Saint-Jean,HOUSE,475000.0,4.0,160.0,0,1,1,180.0,2,0,0
Kapellen,HOUSE,259000.0,2.0,120.0,0,0,1,1000.0,3,0,1
Amougies,MANSION,430000.0,5.0,367.0,0,0,0,2070.0,3,0,0
Antwerp,HOUSE,390000.0,3.0,180.0,0,0,0,157.0,2,0,0
Sint-Lenaarts,HOUSE,435000.0,3.0,213.0,0,0,0,793.0,4,0,1
Torhout,HOUSE,249000.0,2.0,147.0,0,0,0,227.0,3,0,0
Torhout,MIXED_USE_BUILDING,249000.0,2.0,147.0,0,0,0,227.0,3,0,0
Beveren-Waas,HOUSE,295000.0,3.0,130.0,0,0,1,320.0,3,0,1
Roeselare,HOUSE,223000.0,3.0,150.0,0,1,0,192.0,3,0,0
Quaregnon,HOUSE,157500.0,3.0,136.0,0,1,0,405.0,2,0,0
Trooz,HOUSE,135000.0,2.0,105.0,0,1,0,180.0,4,0,0
Haacht,HOUSE,365000.0,4.0,187.0,0,1,1,585.0,3,0,0
Petit-Dour,HOUSE,400000.0,5.0,344.0,0,1,1,3380.0,4,0,0
Ronse,HOUSE,299500.0,3.0,220.0,0,1,1,469.0,2,0,0
Ronse,HOUSE,169000.0,3.0,155.0,0,1,0,241.0,3,0,1
Begijnendijk,HOUSE,364900.0,4.0,250.0,0,0,0,792.0,4,0,0
Hemiksem,HOUSE,275000.0,4.0,227.0,0,1,1,206.0,2,0,1
Froidchapelle,HOUSE,85000.0,2.0,60.0,0,0,1,434.0,4,0,0
Frasnes-lez-Gosselies,HOUSE,195000.0,3.0,100.0,0,1,0,94.0,2,0,0
Waterloo,VILLA,895000.0,4.0,287.0,0,0,1,1501.0,4,0,1
Mortsel,HOUSE,495000.0,3.0,165.0,0,0,1,156.0,2,0,0
SINT-NIKLAAS,HOUSE,394000.0,6.0,351.0,0,1,1,283.0,2,0,1
Wavre,HOUSE,399000.0,3.0,140.0,0,0,1,383.0,3,0,0
Grez-Doiceau,HOUSE,399000.0,3.0,140.0,0,0,1,383.0,3,0,0
Schaerbeek,HOUSE,495000.0,5.0,165.0,0,1,1,135.0,2,0,1
Oostrozebeke,HOUSE,319000.0,4.0,240.0,0,1,1,351.0,3,0,1
Waremme,HOUSE,239900.0,5.0,236.0,0,1,1,216.0,3,0,0
Lembeek,HOUSE,270000.0,3.0,173.0,0,0,0,480.0,2,0,1
Stabroek,HOUSE,340000.0,3.0,120.0,0,1,0,90.0,3,0,0
Braine-l'Alleud,VILLA,535000.0,3.0,240.0,0,1,1,640.0,4,0,1
Mechelen,HOUSE,349000.0,3.0,196.0,0,1,1,164.0,4,0,0
